Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
01551-0616C,BOLTREAR BUMPER LOWER,,55,,,44.28,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01551-08253,BOLT,,47,,,37.84,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01551-0825A,BOLTENG LH MTG BODY,,53,,,42.67,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01551-1020C,BOLTFR SUSPENSION FRAME REAR,,92,,,74.07,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01551-10253,BOLT,,55.04,,,44.31,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01551-12253,BOLT,,57.58,,,46.36,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01551-1225A,BOLT,,77,,,61.99,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01551M0816A,BOLTSTIFFENER BRACKET,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01551M0825A,BOLTSTEERING COLUMN LOWER,,7,,,5.64,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01551M1025A,BOLT,,12,,,9.66,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01551M1225A,BOLT SUSPENSION FRAME,,18,,,14.49,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01560-06163,.BOLTLOCKING HUB COVER,,43.5,,,35.02,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01570-0820A,BOLT,,24,,,19.32,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01570-0825B,BOLT,,65,,,52.33,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01570-10163,BOLT,,37,,,29.79,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01570-1016A,BOLT,,72.5,,,58.37,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01570-10303,BOLT,,56.52,,,45.50,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01570-1030A,BOLT MTG BRACKET ENG SIDE,,77,,,61.99,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01570-1040A,BOLT,,79,,,63.60,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01570M06123,BOLT,,1.5,,,1.21,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01570M0612A,BOLT,,3,,,2.42,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01570M0816A,BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01570M0820A,BOLT,,14,,,11.27,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01570M08253,COMBI BOLT,,3,,,2.42,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01570M0825A,BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01570M10253,BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01580-0620C,SCREWIGN COIL,,61,,,49.11,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01580-08253,BOLTSHF LVR SW,,43,,,34.62,,50,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01580-0825A,BOLT BATTERY BAND,,55,,,44.28,,50,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01580M06203,SCREWIGN COIL,,4,,,3.22,,50,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01580M0620A,BOLT,,4,,,3.22,,50,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01707M10356,BOLT,,7.32,,,5.89,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01800M10503,BOLTMOUNTINGMEMBER FR.,,10,,,8.05,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01810M08163,BOLT,,3.5,,,2.82,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01810M1020A,BOLT,,7,,,5.64,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01810M10253,BOLTRR BACK HINGE,,6,,,4.83,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01820M0825A,BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01907-08906,BOLT 8X90,,8.72,,,7.02,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
02112-04063,SCREW,,11.5,,,9.26,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
02112-05086,SCREW,,2.44,,,1.96,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
02112-05125,.SCREW,,3.6,,,2.90,,50,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
02112-06123,SCREW,,1.95,,,1.57,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
02112-06163,SCREW,,2,,,1.61,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
