Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
547854600122,WIRING HARNESSFRONT,," 42,769.00 ",18%,," 33,346.99 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600124,WIRING HARNESSBATTERY CABLE +VE,," 1,986.00 ",18%,," 1,548.48 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600125,WIRING HARNESSBATTERY -VE,, 878.00 ,18%,, 684.58 ,,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600127,WIRING HARNESSEMS,," 13,345.00 ",18%,," 10,405.10 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600128,WIRING HARNESSFLOOR CONSOLE,," 2,562.00 ",18%,," 1,997.59 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600130,WIRING HARNESSFLOOR CONSOLE,," 2,629.00 ",18%,," 2,049.83 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600148,WIRING HARNESSCABIN,," 62,691.00 ",18%,," 48,880.17 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600152,WH FRONT HARRIER/SAFARI,," 41,448.00 ",18%,," 32,317.01 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600154,WH FLOOR CONSOLE HARRIER/SAFARI,," 2,375.00 ",18%,," 1,851.79 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600164,WIRING HARNESSCABIN,," 63,325.00 ",18%,," 49,374.50 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600166,WIRING HARNESSCABIN,," 63,143.00 ",18%,," 49,232.60 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600167,WIRING HARNESSCABIN,," 65,432.00 ",18%,," 51,017.33 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600168,WIRING HARNESSCABIN,," 73,102.00 ",18%,," 56,997.63 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
547854600169,WIRING HARNESSCABIN,," 82,409.00 ",18%,," 64,254.30 ",,EA,,TELCO,TATA,,,,,,,,,,,,85443000,,,
