Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock
A5Z03500,ASSEMBLY OF SUPD  10XX 4540 W,,13750,24,,10450,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089200,
A5Z03600,ASSEMBLY OF STEEL BEAM SUPD,,15890,24,,12076.4,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87082900,
A5Z03700,ASSEMBLY OF STEEL BEAM SUPD,,20670,24,,15709.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5Z03800,ASSEMBLY OF STEEL BEAM SUPD,,20460,24,,15549.6,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5Z05200,SUPD ASSY FOR NGICV 4940 WB,,12900,24,,9804,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089200,
A5Z05700,BOSS 12XX 5200WB SUPD ASSY,,23620,24,,17951.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089200,
A5Z07200,SUPD ASSEMBLY  N3718,,13370,24,,10161.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,84099990,
A6090700,5TH WHEEL COUPLER-3516,,61600,24,,46816,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A6200200,ASSY.OF AIR HORN,,442,32,,300.56,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,85123010,
A6290000,S/A AIR HORN,,358,32,,243.44,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A6590900,BODY RD-20,,302470,24,,229877.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A6595900,SUB FRAME,,14230,24,,10814.8,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A6K00300,ASSEMBLY OF POWER STEERING PUMP,,8140,41.02,,4800.972,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,84099990,
A6N00100,INTERAXLE  PROPELLER SHAFT,,59380,32,,40378.4,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A6P08200,ASM RAD AND CAC  HRV 6X6,,237390,32,,161425.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A6S00100,V RADIUS ROD ASSY 32T,,25750,32,,17510,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87088000,
A6T01600,REAR AXLE ASSY-MT1497-6.17R-TDM-FWD,,670630,16,,563329.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T01700,REAR AXLE ASSY-MT1497-6.17R-TDM-REAR,,308030,16,,258745.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T01900,BACK AXLE R14975.831870 TRACK,,670630,16,,563329.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T02100,Rear Axle Assy-60SHO Axle 6.17RAR,,308030,16,,258745.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T05200,BACK AXLE RS1454.881600 SERIE,,375550,16,,315462,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A6T05400,Single Rear Axle Assembly REAR AXLE ASS,,670630,16,,563329.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T06300,DANA 60SHO6.1710TG10WB16007 H,,375550,16,,315462,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T06600,REAR AXLE ASSY-SQR109-6.5R-TDM-FWD,,536500,16,,450660,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T06900,BACK AXLE ASSYFWD AXLE MT1495,,670630,16,,563329.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T07000,BACK AXLE ASSYREAR REAR AXLE,,336700,16,,282828,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T08900,REAR AXLE ASSY-R149.7-5.83R,,670630,16,,563329.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T09200,DUMMY AXLE ASSY-10T-10WB-TY 24/24,,171680,16,,144211.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87085000,
A6T10000,REAR AXLE ASSY-60SHO-5.57R-10T,,375550,16,,315462,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
